Pillar,#,Initiative Name,Science lead or support,,,,
Conservation and Stewarship,1,Improved Understanding Of Salmon Ecosystems,Y,,,,Improved Understanding Of Salmon Ecosystems
Conservation and Stewarship,2,High Seas Monitoring And Enforcement,Y,,,,High Seas Monitoring And Enforcement
Conservation and Stewarship,3,Integrated Salmon Ecosystem Planning,,,,,Integrated Salmon Ecosystem Planning
Conservation and Stewarship,4,Salmon Stewardship And Restoration,Y,,,,Salmon Stewardship And Restoration
Conservation and Stewarship,5,BC Salmon Restoration And Innovation Fund Phase Two,,,,,Bc Salmon Restoration And Innovation Fund Phase Two
Salmon Enhancement,6,New Upper Fraser DFO Hatcheries,,,,,New Upper Fraser Dfo Hatcheries
Salmon Enhancement,7,Retrofitting DFO Hatcheries,,,,,Retrofitting Dfo Hatcheries
Salmon Enhancement,8,New And Retrofitted Community-Based Hatcheries,,,,,New And Retrofitted Community-Based Hatcheries
Salmon Enhancement,9,Modernized Hatchery Management (Harvest),Y,,,,Modernized Hatchery Management (Harvest)
Salmon Enhancement,10,Expansion Of Mass Marking,Y,,,,Expansion Of Mass Marking
Harvest Transformation,11,Pacific Salmon Allocation Policy Review Process,,,,,Pacific Salmon Allocation Policy Review Process
Harvest Transformation,12,Transition To Selective Harvesting Methods For FSC,,,,,Transition To Selective Harvesting Methods For Fsc
Harvest Transformation,13,New And Innovative Harvest Opportunities (First Nations),,,,,New And Innovative Harvest Opportunities (First Nations)
Harvest Transformation,14,Modernized Management Approach For First Nations Fisheries,,,,,Modernized Management Approach For First Nations Fisheries
Harvest Transformation,15,"Long Term Conservation Closures On Non-Selective Fishing, And Mitigation Measures",,,,,"Long Term Conservation Closures On Non-Selective Fishing, And Mitigation Measures"
Harvest Transformation,16,Modernized Licensing And Management Approach (Commercial),,,,,Modernized Licensing And Management Approach (Commercial)
Harvest Transformation,17,New Recreational Harvest Opportunities (Mark Selective Fisheries),,,,,New Recreational Harvest Opportunities (Mark Selective Fisheries)
Harvest Transformation,18,Modernized Licensing And Management Approaches (Recreational),Y,,,,Modernized Licensing And Management Approaches (Recreational)
Integration and Collaboration,19,PSSI Implementation Secretariat,,,,,Pssi Implementation Secretariat
Integration and Collaboration,20, Integrated Salmon Workplanning,,,,, Integrated Salmon Workplanning
Integration and Collaboration,21,Strategic Data Policy And Analytics Team,Y,,,,Strategic Data Policy And Analytics Team
Integration and Collaboration,22,Inter-Jurisdictional Salmon Collaboration,,,,,Inter-Jurisdictional Salmon Collaboration
Integration and Collaboration,23,BC First Nations Salmon Stewardship Governance,,,,,Bc First Nations Salmon Stewardship Governance
Integration and Collaboration,24,International Salmon Collaboration,,,,,International Salmon Collaboration
