theme_section,icon_file,anchor
Life cycle approaches,life-cycle.png,life-cycle
Marine ecosystems,marine-ecosystems.png,marine-ecosystems
Freshwater ecosystems,freshwater-ecosystems.png,freshwater-ecosystems
Climate change vulnerability,climate-change-vulnerability.png,climate-change-vulnerability
Stock assessment,stock-assessment.png,stock-assessment
Improving data management and availability,data-management.png,data-management
Data and modelling to support decision making,modelling.png,modelling
Hatchery Fitness and Genetics,hatchery-fitness-and-genetics.png,hatchery-fitness-and-genetics
Fish health and hatchery practices,fish-health.png,fish-health
Fishery monitoring and harvest techniques,harvest.png,harvest
