source,project_number,project_title,phase,recipient,geographic_distribution,location,description,collaborators,broad_header,section,include
BCSRIF,BCSRIF_2019_001,Elaho River Chinook Salmon Restoration,1,Squamish River Watershed Society,South Coast,Elaho River,The Elaho River chinook salmon restoration project will restore fish passage and increase chinook productivity in the lower Elaho River. The project will reduce obstructions and provide fish access to over 40 kilometers of ideal fish habitat in the upper section of the watershed improving the natural productivity of char and salmonids including chinook coho pink salmon and steelhead.,"Sḵwx̱wú7mesh Úxwumixw,  Pacific Salmon Foundation, BC Ministry of Forests, DFO, Tenderfoot Hatchery",NA,NA,n
BCSRIF,BCSRIF_2019_005,Creation of Salmon Conservation Facility,1,Juan de Fuca Salmon Restoration Society,South Coast,"Charters River, Sooke",Funding will support upgrades to the Sooke River Jack Brooks hatchery facility and interpretive center. Facility upgrades will meet green building codes include upgraded effluent treatments and the potential for stock assessment capability. Planning and upgrades are intended to provide a template to support similar upgrades and contribute to the overall effectiveness of community-operated hatcheries.,"MariSource Vertical Incubation System, Sooke Salmon Enhancement Society, T’souke First Nation, Juan de Fuca Salmon Enhancement Society, Charters River Salmon Interpretive Centre",NA,NA,n
BCSRIF,BCSRIF_2019_011,Development of North Island wet lab capacity to investigate wild/farm salmon interaction and stock restoration,1,BC Centre for Aquatic Health Sciences Society,South Coast,Campbell River,"This project aims to establish a wet lab facility near Campbell River to increase research and diagnostic capacity to identify and examine fish health threats including effects of climate change and interactions between farmed and wild stocks. The project is shovel-ready with preliminary designs complete.  Construction contractors are engaged and prepared to begin siting, permitting & planning for 18 – 24 months construction to commence in late summer 2019.  This project promotes information transfer to government, general public & industry stakeholders; it is also an educational platform.",,NA,NA,n
BCSRIF,BCSRIF_2019_014,Innovative Habitat Restoration Demonstration,1,British Columbia Conservation Foundation,Fraser and Interior,Thompson River System ,"Led by the British Columbia Conservation Foundation the Innovative Habitat Restoration Demonstration is a multi-year watershed-scale demonstration project to showcase innovative habitat restoration methods that accommodate the effects of recent ecosystem shifts with benefits to chinook, coho, sockeye and steelhead salmon. The project will promote restoration protection and maintenance of healthy and diverse salmon populations and their habitats.",,NA,NA,n
BCSRIF,BCSRIF_2019_017,"Historical review and Indigenous engagement to increase efficacy of, and Indigenous participation in the British Columbia Salmon Restoration and Innovation Fund (BCSRIF).",1,National Indigenous Fisheries Institute,BC Wide and Coastal Waters,BC Wide,The National Indigenous Fisheries Institute will engage with Indigenous communities to identify potential large-scale multi-Nation initiatives that could be supported by BCSRIF. This work will also encourage increased Indigenous involvement in science partnerships innovation and infrastructure investments that would improve productivity sustainability and safety across the sector.,First Nations Fisheries Council (FNFC),NA,NA,n
BCSRIF,BCSRIF_2019_018,Rehabilitation of Critical Infrastructure to Improve Survival of Thompson Steelhead & Chinook,1,Scw’exmx Tribal Council,Fraser and Interior,"Nicola River watershed, Merritt",The Scw'exmx Tribal Association and partners will assess and rehabilitate degraded habitats in the Coldwater River and Guichon Creek watersheds to improve survival of Thompson steelhead and chinook salmon.,Scw'exmx Tribal Council,NA,NA,n
BCSRIF,BCSRIF_2019_040,Determination of Bottlenecks Limiting Wild and Enhanced Juvenile Salmon and Steelhead Production in BC using PIT tags and Spatially Comprehensive Arrays,1,Pacific Salmon Foundation,BC Wide and Coastal Waters,Strait of Georgia,Together with partners the Pacific Salmon Foundation will develop the monitoring and evaluation framework to determine survival bottlenecks in freshwater and marine environments for hatchery and wild chinook coho and steelhead. Research monitoring and evaluation activities will seek to maximize the performance of hatchery and wild stocks; and the installation of new infrastructure will support adaptive management of hatchery programs to meet harvest conservation and sustainability objectives.,"BC Conservation Foundation, UVIC, Freshwater Fisheries Society of BC, K'ómoks First Nation, A-Tlegay Fisheries Society, Cowichan Tribes, Snʊˈneɪməxʷ First Nation, shíshálh Nation, Nanoose First Nation, Nanaimo River Stewardship Society, UNBC, SFU, UBC, Redd Fish Restoration, Toquaht Nation, Nature Trust BC, Peninsula Streams Society, VIU, and several enhancement societies",Assessments,Life cycle assessment - Bottlenecks to survival,y
BCSRIF,BCSRIF_2019_040-136D,Salish Sea Salmon Action Plan - Bottlenecks Limiting Juvenile Salmon Production,1,Pacific Salmon Foundation and BC Conservation Foundation,BC Wide and Coastal Waters,Strait of Georgia,Together with partners the Pacific Salmon Foundation will develop the monitoring and evaluation framework to determine survival bottlenecks in freshwater and marine environments for hatchery and wild chinook coho and steelhead. Research monitoring and evaluation activities will seek to maximize the performance of hatchery and wild stocks; and the installation of new infrastructure will support adaptive management of hatchery programs to meet harvest conservation and sustainability objectives.,"BC Conservation Foundation, UVIC, Freshwater Fisheries Society of BC, K'ómoks First Nation, A-Tlegay Fisheries Society, Cowichan Tribes, Snʊˈneɪməxʷ First Nation, shíshálh Nation, Nanoose First Nation, Nanaimo River Stewardship Society, UNBC, SFU, UBC, Redd Fish Restoration, Toquaht Nation, Nature Trust BC, Peninsula Streams Society, VIU, and several enhancement societies",NA,NA,n
BCSRIF,BCSRIF_2019_041,Enhancing Estuary Resiliency: An Innovative Approach to Sustaining Fish and Fish Habitat in a Changing Climate,1,Nature Trust of British Columbia (NTBC),BC Wide and Coastal Waters,"Vancouver Island, Central Coast, Haida Gwaii ","Through this project, the Nature Trust of BC will undertake monitoring and research to assess estuary resilience to sea level rise and other climate impacts across the coast of BC using the Marsh Resiliency to Sea Level Rise (MARS) tool followed by restoration projects to restore core natural estuarine processes. The Nature Trust of BC will partner with various local First Nations groups environmental organizations and academic institutions.","West Coast Conservation Land Management Partnership Program
Marine Plan Partnership
Nanwakolas Council
Simon Fraser University
Snuneymuxw First Nation
Cowichan Tribes
Hakai Institute
University of British Columbia
Pacific Salmon Foundation
Habitat Conservation Trust Foundation",NA,NA,n
BCSRIF,BCSRIF_2019_045,Empowering Indigenous community fisheries with deep learning - computer vision for adaptive management of terminal salmon fisheries,1,Pacific Salmon Foundation,Central Coast and the North,Bella Bella,This project will integrate traditional and modern technologies through the development of new computer vision deep-learning programs to automate salmon counting and species identification from video and sonar data. Connecting these tools with community-run escapement monitoring programs around the North and Central Coast will support the transition towards real-time data integration and in-season monitoring to inform the adaptive management of salmon fisheries.,"Tula Foundation 
Haida Fisheries 
Simon Fraser University
Fisheries and Oceans Canada 
Pacific Salmon Foundation Salmon Watersheds Program
Pacific Salmon Foundation Salmon Watersheds Program
Heiltsuk Integrated Resource Management Department
Kitasoo Xai'xais Stewardship Authority",NA,NA,n
