Pillar,Initiative,Initiative Name,Science lead or support
Conservation and Stewarship,1,IMPROVED UNDERSTANDING OF SALMON ECOSYSTEMS ,Y
Conservation and Stewarship,2 ,HIGH SEAS MONITORING AND ENFORCEMENT,Y
Conservation and Stewarship,3,INTEGRATED SALMON ECOSYSTEM PLANNING,
Conservation and Stewarship,4,SALMON STEWARDSHIP AND RESTORATION,Y
Conservation and Stewarship,5,BC SALMON RESTORATION AND INNOVATION FUND (BCSRIF) ,
Salmon Enhancement,6 ,NEW UPPER FRASER DFO HATCHERIES ,
Salmon Enhancement,7 ,RETROFITTING DFO HATCHERIES ,
Salmon Enhancement,8 ,NEW AND RETROFITTED COMMUNITY-BASED HATCHERIES ,
Salmon Enhancement,9 ,MODERNIZED HATCHERY MANAGEMENT (HARVEST) ,Y
Salmon Enhancement,10 ,EXPANSION OF MASS MARKING ,Y
Harvest Transformation,11 ,PACIFIC SALMON ALLOCATION POLICY REVIEW PROCESS,
Harvest Transformation,12 ,TRANSITION TO SELECTIVE HARVESTING METHODS FOR FSC ,
Harvest Transformation,13 ,NEW AND INNOVATIVE HARVEST OPPORTUNITIES (FIRST NATIONS) ,
Harvest Transformation,14 ,MODERNIZED MANAGEMENT APPROACH FOR FIRST NATIONS FISHERIES  ,
Harvest Transformation,15 ,"LONG TERM CONSERVATION CLOSURES ON NON-SELECTIVE FISHING, AND MITIGATION MEASURES ",
Harvest Transformation,16 ,MODERNIZED LICENSING AND MANAGEMENT APPROACH (COMMERCIAL) ,
Harvest Transformation,17 ,NEW RECREATIONAL HARVEST OPPORTUNITIES (MSF) ,
Harvest Transformation,18 ,MODERNIZED LICENSING AND MANAGEMENT APPROACHES (RECREATIONAL) ,Y
Integration and Collaboration,19 ,PSSI IMPLEMENTATION SECRETARIAT ,
Integration and Collaboration,20 , INTEGRATED SALMON WORKPLANNING ,
Integration and Collaboration,21 ,STRATEGIC DATA POLICY AND ANALYTICS TEAM ,Y
Integration and Collaboration,22 ,INTER-JURISDICTIONAL SALMON COLLABORATION ,
Integration and Collaboration,23 ,BC FIRST NATIONS SALMON STEWARDSHIP GOVERNANCE,
Integration and Collaboration,24 ,INTERNATIONAL SALMON COLLABORATION ,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
